snapped_at,price,market_cap,total_volume
2021-08-29 00:00:00 UTC,1821.497815974452,155315258.1386673,97746.57072813276
2021-08-30 00:00:00 UTC,1807.5665967074563,154423760.5058449,76292.72725154669
2021-08-31 00:00:00 UTC,1812.1370580543214,154369172.2420373,77959.54983725664
2021-09-01 00:00:00 UTC,1814.058485739393,154989524.6277354,42343.88821805268
2021-09-02 00:00:00 UTC,1810.2363769807841,154986478.53422406,48717.784779846326
2021-09-03 00:00:00 UTC,1806.6250612079743,154703211.70280758,83613.57534282852
2021-09-04 00:00:00 UTC,1811.6327852435202,154394251.77564234,155739.15501646584
2021-09-05 00:00:00 UTC,1826.5055426666809,156143713.86168212,29167.145005641836
2021-09-06 00:00:00 UTC,1828.9215980319282,156169232.32612324,164493.97846641348
2021-09-07 00:00:00 UTC,1824.3588303039055,156469788.96467477,176606.70698525844
2021-09-08 00:00:00 UTC,1789.4676288483242,153034561.24547675,473595.7141942788
2021-09-09 00:00:00 UTC,1787.7252423865618,152661069.1222471,163824.50673000785
2021-09-10 00:00:00 UTC,1793.1112929665296,153195733.77518457,54370.50397316455
2021-09-11 00:00:00 UTC,1790.621237479951,152825200.73605606,59535.7163821772
2021-09-12 00:00:00 UTC,1788.938206525861,152561746.6748425,26200.8364476577
2021-09-13 00:00:00 UTC,1784.9205836450863,152603722.55744982,26251.407997765597
2021-09-14 00:00:00 UTC,1793.014355815243,153186505.61894968,168152.24056062338
2021-09-15 00:00:00 UTC,1804.6481856898756,154087087.23563862,151499.99345422044
2021-09-16 00:00:00 UTC,1794.5514954180505,153312610.31588176,40801.01301086979
2021-09-17 00:00:00 UTC,1759.2377962832568,150302392.63350394,239689.26708823178
2021-09-18 00:00:00 UTC,1761.168082928696,150201437.67031133,76785.16106055958
2021-09-19 00:00:00 UTC,1753.6985177357403,149811850.9879825,279846.60220349574
2021-09-20 00:00:00 UTC,1754.5874484045053,149945047.2550883,129636.75186685925
2021-09-21 00:00:00 UTC,1766.8580432268704,150831324.41307423,219785.97464661617
2021-09-22 00:00:00 UTC,1775.8715156666592,151460004.4242021,260073.65200543092
2021-09-23 00:00:00 UTC,1768.287483491237,151011196.62138057,217139.72514292007
2021-09-24 00:00:00 UTC,1748.9802254900003,149160837.72052318,598784.5938420191
2021-09-25 00:00:00 UTC,1752.2732896830994,149183164.5689904,207384.57257524575
2021-09-26 00:00:00 UTC,1750.7611484196602,149885932.72177923,236904.26667354294
2021-09-27 00:00:00 UTC,1750.3143599561747,149775969.62742826,63318.20874504753
2021-09-28 00:00:00 UTC,1745.5943478245472,149440247.46213582,189101.31555665078
2021-09-29 00:00:00 UTC,1732.3351306012894,148143426.91690284,57414.93182814502
2021-09-30 00:00:00 UTC,1729.7475152432708,147660465.5291595,70946.73338436772
2021-10-01 00:00:00 UTC,1755.3897749265998,150022959.18244362,101853.31764539752
2021-10-02 00:00:00 UTC,1761.240268682017,150547546.12554306,49021.262168849564
2021-10-03 00:00:00 UTC,1759.3096388030754,150033176.0080028,68333.98197803764
2021-10-04 00:00:00 UTC,1769.2654013403178,150968269.9812821,111895.31517608152
2021-10-05 00:00:00 UTC,1773.416525733529,151647996.33689705,160428.69120207912
2021-10-06 00:00:00 UTC,1762.1936136744612,150571955.24457917,521979.40173855214
2021-10-07 00:00:00 UTC,1767.6951026846743,151042814.21450093,228876.22099761575
2021-10-08 00:00:00 UTC,1756.2840663373172,149878233.05704594,185387.59124804096
2021-10-09 00:00:00 UTC,1759.2276681581868,150032560.22917652,286346.0799843298
2021-10-10 00:00:00 UTC,1760.9030768862806,150303206.94639602,42942.041157896136
2021-10-11 00:00:00 UTC,1753.2487197936741,149770318.43865547,277189.4932069562
2021-10-12 00:00:00 UTC,1762.0234873934555,149883004.6258302,1752963.424932345
2021-10-13 00:00:00 UTC,1759.4695312610218,150557478.71877626,203639.2625722375
2021-10-14 00:00:00 UTC,1793.2870982065895,153235751.44315848,1127224.033302454
2021-10-15 00:00:00 UTC,1797.1696991233378,153511531.9981174,396901.2057936483
2021-10-16 00:00:00 UTC,1774.2278629748976,151075190.00990614,355036.8112574762
2021-10-17 00:00:00 UTC,1766.037048190255,150190208.18160564,165752.73470253256
2021-10-18 00:00:00 UTC,1770.9582300836032,151198559.14468455,340125.29990458995
2021-10-19 00:00:00 UTC,1764.3616275396691,151079554.99666926,590932.4274083684
2021-10-20 00:00:00 UTC,1770.5782670667584,151042806.66578412,509532.94152465236
2021-10-21 00:00:00 UTC,1782.4904090709415,152530844.86212948,6165833.818532678
2021-10-22 00:00:00 UTC,1787.3486027185452,152497501.09090847,298913.0681475205
2021-10-23 00:00:00 UTC,1798.7591466319154,153645205.4171358,431337.99851734214
2021-10-24 00:00:00 UTC,1799.9415613433998,154533878.59778297,337343.791168383
2021-10-25 00:00:00 UTC,1805.910673797496,153951241.86559537,152311.6547976119
2021-10-26 00:00:00 UTC,1811.7608025730035,154762030.24781036,270077.29985015676
2021-10-27 00:00:00 UTC,1796.6394440601505,154131356.28742754,479923.8980873951
2021-10-28 00:00:00 UTC,1802.5252494755919,153874827.81334862,1379327.7190676706
